spp1,spp2,outgroup,sp1_ds,sp2_ds,sp1_dn,sp2_dn,sp1_w,sp2_w,ds_diff,dn_diff,w_diff,fecundity_sp1,fecundity_sp2
Buteo_burmanicus_KM364882,Accipiter_nisus_NC025580,Aquila_chrysaetos_NC024087,0.512722,1.035604,0.011353,0.026926,0.0221417,0.0260007,-0.522882,-0.015573,-0.003859,3,4.75
Phylloscopus_inornatus_KF742677,Aegithalos_caudatus_KF951088,Cecropis_daurica_NC_024107,0.814904,0.703899,0.019411,0.020187,0.0238202,0.0286794,0.111005,-0.000776,-0.0048592,5.09,9.9
Netta_rufina_NC024922,Anas_formosa_NC015482,Aix_galericulata_NC023969,0.660707,0.428589,0.011251,0.00496,0.0170282,0.0115721,0.232118,0.006291,0.0054561,9,7.400485437
Branta_canadensis_NC007011,Anser_indicus_NC025654,Aix_galericulata_NC023969,0.204753,0.304889,0.006093,0.006378,0.0297596,0.0209194,-0.100136,-0.000285,0.0088402,5.15,5
Apus_apus_NC008540,Archilocus_colubris_NC010094,Calyptorhynchus_lathami_NC020593,0.992407,1.403771,0.024681,0.032236,0.0248702,0.0229638,-0.411364,-0.007555,0.0019064,2.3,4.5
Aix_galericulata_NC023969,Cairina_moschata_NC010965,Anser_indicus_NC025654,0.274356,0.342587,0.008359,0.009645,0.030467,0.0281539,-0.068231,-0.001286,0.0023131,10.5,16.5
Dromaius_novaehollandiae_NC002784,Casuarius_casuarius_NC002778,Pterocnemia_pennata_NC002783,0.400764,0.504079,0.00768,0.006024,0.0191623,0.0119513,-0.103315,0.001656,0.007211,14.249411,14.16648113
leptotila_verreauxi_HM640214,Columba_livia_NC013978,Gallicolumba_luzonica_HM746790,0.690547,0.738525,0.015027,0.018668,0.0217611,0.0252777,-0.047978,-0.003641,-0.0035166,2,8
Nucifraga_columbiana_NC022839,Corvus_hawaiiensis_NC_026783,Eopsaltria_australis_NC019665,0.429889,0.380466,0.010424,0.012222,0.0242484,0.0321243,0.049423,-0.001798,-0.0078759,3,4
Botaurus_stellaris_NC025923,Dupetor_flavicollis_NC024575,Nycticorax_nycticorax_NC015807,0.6087,0.373225,0.014438,0.010352,0.0237198,0.0277378,0.235475,0.004086,-0.004018,5,8
Crypturellus_tataupa_AY016012,Eudromia_elegans_NC002772,Anomalopteryx_didiformis_NC002779,1.791689,1.342381,0.047239,0.035086,0.0263655,0.026137,0.449308,0.012153,0.0002285,9,14
Eudyptes_chrysocome_NC008138,Eudyptula_minor_NC004538,Botaurus_stellaris_NC025923,0.366649,0.346667,0.009355,0.011866,0.0255145,0.0342284,0.019982,-0.002511,-0.0087139,2,3
Turdus_migratorius,Ficedula_albicollis_NC021621,Acridotheres_cristatellus_NC015613,0.808746,0.638578,0.018425,0.012066,0.022782,0.0188957,0.170168,0.006359,0.0038863,8.575,6
Fulica_atra_NC025500,Gallinula_chloropus_NC015236,Eulabeornis_castaneoventris_NC025501,0.407589,0.278621,0.006249,0.012379,0.0153307,0.0444293,0.128968,-0.00613,-0.0290986,11.4,14
Crotophaga_ani_HM746794,Geococcyx_californianus_NC011711,Balearica_regulorum_NC020569,0.817497,0.920884,0.036816,0.034064,0.0450352,0.0369902,-0.103387,0.002752,0.008045,12.45,6
Balearica_regulorum_NC020569,Grus_paradisea_FJ769844,Amaurornis_phoenicurus_NC024593,0.509066,0.304663,0.01453,0.00859,0.0285424,0.0281945,0.204403,0.00594,0.0003479,2.5,2
Ceryle_rudis_NC024280,Halcyon_sancta_NC011712,Dryocopus_pileatus_NC008546,0.853318,0.715796,0.023982,0.019019,0.0281039,0.0265711,0.137522,0.004963,0.0015328,7.5,9.27
Charadrius_vociferus,Himantopus_mexicanus,Chionis_minor,0.646032,0.61497,0.011936,0.014901,0.0184757,0.0242298,0.031062,-0.002965,-0.0057541,60,4
Cecropis_daurica_NC_024107,Hirundo_rustica_KP148840,Progne_chalybea_NC020605,0.537213,0.239489,0.01275,0.007428,0.0237341,0.0310143,0.297724,0.005322,-0.0072802,8.13,8.091
Rissa_tridactyla,Larus_dominicanus_NC007006,Rhynchops_niger,0.161553,0.196881,0.006732,0.0049,0.0416691,0.0248872,-0.035328,0.001832,0.0167819,2,2.35
Passer_montanus_JX486030,Montifringilla_nivalis,Himatione_sanguinea,0.775114,0.557009,0.013072,0.014778,0.0168646,0.0265319,0.218105,-0.001706,-0.0096673,12.5,9
Chrysolophus_amherstiae_NC014576,Phasianus_colchicus_NC015526,Bonasia_bonasia_NC020591,0.354755,0.244023,0.006705,0.010186,0.0189017,0.0417433,0.110732,-0.003481,-0.0228416,7.75,11
Diomedea_chrysostoma_AP009193,Phoebastria_nigripes_NC026188,Procellaria_cinerea_AP009191,0.330564,0.383713,0.012204,0.009339,0.0369198,0.0243392,-0.053149,0.002865,0.0125806,0.5799257,0.8931034
Nipponia_nippon_NC008132,Platalea_leucorodia_NC012772,Botaurus_stellaris_NC025923,0.472549,0.573784,0.010031,0.008911,0.021228,0.015531,-0.101235,0.00112,0.005697,3,3.5
Procellaria_cinerea_AP009191,Pterodroma_brevirostris_NC007174,Diomedea_chrysostoma_AP009193,0.540734,0.556535,0.012544,0.017374,0.0231989,0.031219,-0.015801,-0.00483,-0.0080201,0.9044118,1
Pinicola_enucleator,Pyrrhula_pyrrhula,Himatione_sanguinea,0.534674,0.524653,0.00698,0.007751,0.0130545,0.0147735,0.010021,-0.000771,-0.001719,3.8,6.75
Euphagus_cyanocephalus_NC018827,Quiscalus_quiscula_NC018803,Macroagelaius_imthurni_NC018810,0.231873,0.216697,0.002138,0.004028,0.00921988,0.0185882,0.015176,-0.00189,-0.00936832,7.5,5
Arenaria_interpres_NC003712,Scolopax_rusticola_NC025521,Attagis_gayi,0.550183,0.807813,0.012172,0.01668,0.0221244,0.0206486,-0.25763,-0.004508,0.0014758,4,6
Campylorhynchus_zonatus_NC022840,Sitta_carolinensis,Acridotheres_cristatellus_NC015613,1.156762,1.084611,0.028038,0.026894,0.0242387,0.0247956,0.072151,0.001144,-0.0005569,7.9,8
Aegypius_monachus_NC022957,Spilornis_cheela_NC015887,Aquila_chrysaetos_NC024087,0.687827,0.663496,0.017748,0.011645,0.0258034,0.0175509,0.024331,0.006103,0.0082525,1,2
Catharacta_skua,Stercorarius_maccormicki_NC026125,Larus_saundersi_NC017601,0.030107,0.029136,0.001742,0.001836,0.0578609,0.0630184,0.000971,-9.40E-05,-0.0051575,2,2
Morus_serrator_GU071056,Sula_dactylatra_KC875857,Anhinga_rufa_NC014681,0.506556,0.437264,0.01229,0.015595,0.0242619,0.0356643,0.069292,-0.003305,-0.0114024,1,2
Paradoxornis_webbianus_KF725775,Sylvia_atricapilla_NC010228,Garrulax_cineraceus_NC_024553,0.70886,0.864588,0.01978,0.025402,0.0279038,0.0293802,-0.155728,-0.005622,-0.0014764,10,9
Podiceps_cristatus_NC008140,Tachypatpus_novaehollandiae_NC010095,Aceros_corrugatus_HM755883,0.36116,0.509168,0.009551,0.006844,0.0264445,0.0134407,-0.148008,0.002707,0.0130038,5.655,12.3
Cardinalis_cardinalis,Thraupis_episcopus,Emberiza_chrysophrys_NC015233,0.701577,0.431186,0.012297,0.013396,0.017527,0.0310688,0.270391,-0.001099,-0.0135418,7.8,4
Taeniopygia_guttata_NC_007897,Vidua_chalybeata_NC000880,Montifringilla_nivalis,0.628785,0.766439,0.015811,0.028515,0.0251461,0.037205,-0.137654,-0.012704,-0.0120589,9,24