Tips,species,matched_name,body_mass,max_longevity,age_first_breeding,litter_or_clutch_size_n,clutches_per_year,fecundity
Grus_leucogeranus_NC020574,Grus leucogeranus,Grus leucogeranus,5724.75,39.4,2180.808,2,1,2
Grus_monacha_NC020578,Grus monacha,Grus monacha,3702.5,40,1040,2,1,2
Grus_nigricollis_NC020579,Grus nigricollis,Grus nigricollis,6000,30,NA,2,1,2
Grus_paradisea_FJ769844,Grus paradisea,Grus paradisea,4341.75,25,1635.606,2,1,2
Grus_rubicunda_NC020580,Grus rubicunda,Grus rubicunda,6250.5,65,1363.005,2,1,2
Grus_vipio_NC021368,Grus vipio,Grus vipio,5031.5,45,1095,2,1,2
Grus_virgo_FJ769845,Grus virgo,Grus virgo,2400,67,730,2,1,2
Gymnomystax_mexicanus_NC018812,Gymnomystax mexicanus,Gymnomystax mexicanus,98,NA,NA,3,NA,NA
Haematopus_ater_NC003713,Haematopus ater,Haematopus ater,717.5,17,1095,2,NA,NA
Halcyon_pileata_NC024198,Halcyon pileata,Halcyon pileata,86,8,NA,4.5,1,4.5
Halcyon_sancta_NC011712,Halcyon sancta,Todiramphus sanctus,53.95,8.083333,NA,4.635,2,9.27
Heliornis_fulica_NC025499,Heliornis fulica,Heliornis fulica,132,NA,NA,2.2,NA,NA
Hemignathus_flavus,Hemignathus flavus,Chlorodrepanis flava,13.025,NA,NA,NA,NA,NA
Hemignathus_munroi,Hemignathus munroi,Hemignathus wilsoni,28,13,365,1,1,1
Hemignathus_parva,Hemignathus parva,Magumma parva,9.75,9.5,365,3,1,3
Hemignathus_stejnegeri,Hemignathus stejnegeri,Akialoa stejnegeri,NA,NA,NA,NA,NA,NA
Hemignathus_virens,Hemignathus virens,Chlorodrepanis virens,13.35,12,NA,2.5,1.5,3.75
Hemignathus_wilsoni,Hemignathus wilsoni,Hemignathus wilsoni,28,13,365,1,1,1
Hemiphaga_novaeseelandiae_NC013244,Hemiphaga novaeseelandiae,Hemiphaga novaeseelandiae,652.5,NA,NA,1,NA,NA
Henicorhina_leucosticta_KJ746107,Henicorhina leucosticta,Henicorhina leucosticta,14.8,NA,NA,2,NA,NA
Himantopus_mexicanus,Himantopus mexicanus,Himantopus mexicanus,169,19.1,545.968,4,1,4
Himatione_sanguinea,Himatione sanguinea,Himatione sanguinea,14.4,11,NA,3,1,3
Hirundo_rustica_KP148840,Hirundo rustica,Hirundo rustica,19,16,365,4.495,1.8,8.091
Hyliota_flavigaster,Hyliota flavigaster,Hyliota flavigaster,12.625,NA,NA,2,NA,NA
Icterus_mesomelas_JX516068,Icterus mesomelas,Icterus mesomelas,40,NA,NA,3,NA,NA
Ithaginis_cruentus_NC018033,Ithaginis cruentus,Ithaginis cruentus,525,NA,NA,6.75,1,6.75
Ixobrychus_cinnamomeus_NC015077,Ixobrychus cinnamomeus,Ixobrychus cinnamomeus,127,6.9,730,4,NA,NA
Ixobrychus_eurhythmus_NC025924,Ixobrychus eurhythmus,Ixobrychus eurhythmus,142.25,6.9,730,4,NA,NA
Ixobrychus_sinensis_NC025925,Ixobrychus sinensis,Ixobrychus sinensis,94.3,NA,NA,4,2.5,10
Jacana_jacana_NC024069,Jacana jacana,Jacana jacana,120.85,NA,NA,4,NA,NA
Jacana_spinosa_NC024068,Jacana spinosa,Jacana spinosa,116.15,NA,730,4,2,8
Lampropsar_tanagrinus_JX516057,Lampropsar tanagrinus,Lampropsar tanagrinus,57.3,NA,NA,3,NA,NA
Lanius_tephronotus_NC021105,Lanius tephronotus,Lanius tephronotus,49.1,NA,363.468,4.9,2,9.8
Larus_brunnicephalus_NC018548,Larus brunnicephalus,Chroicocephalus brunnicephalus,585,31.85,1460,3,NA,NA
Larus_crassirostris_NC025556,Larus crassirostris,Larus crassirostris,558.75,31.85,1460,2.5,NA,NA
Larus_dominicanus_NC007006,Larus dominicanus,Larus dominicanus,989,31.85,1460,2.35,1,2.35
Larus_relictus_NC023777,Larus relictus,Ichthyaetus relictus,391.5,22.08333,1095,2.7,NA,NA
Larus_saundersi_NC017601,Larus saundersi,Chroicocephalus saundersi,196.5,NA,NA,3,NA,NA
Leiothrix_argentauris_NC015114,Leiothrix argentauris,Leiothrix argentauris,28.4,5.25,NA,4,NA,NA
Leiothrix_lutea_NC020427,Leiothrix lutea,Leiothrix lutea,21.5,15,NA,2.82,1,2.82
leptotila_verreauxi_HM640214,Leptotila verreauxi,Leptotila verreauxi,147.5,8.6,NA,2,1,2
Leucosticte_arctoa,Leucosticte arctoa,Leucosticte arctoa,29.825,6.6,363.468,4.5,1,4.5
Leucosticte_brandti,Leucosticte brandti,Leucosticte brandti,30.25,6.6,365,3.5,NA,NA
Lewinia_muelleri_NC_025502,Lewinia muelleri,Lewinia muelleri,93.75,NA,NA,2,NA,NA
Lophophorus_lhuysii_NC013979,Lophophorus lhuysii,Lophophorus lhuysii,3008,NA,730,3.9,NA,NA
Lophophorus_sclateri_NC_020589,Lophophorus sclateri,Lophophorus sclateri,2348.25,NA,NA,5.5,NA,NA
Lophura_ignita_NC010781,Lophura ignita,Lophura ignita,2155,NA,NA,5.85,NA,NA
Lophura_nycthemera_NC012895,Lophura nycthemera,Lophura nycthemera,1250,NA,365,6.75,1,6.75
Lophura_swinhooi_NC023779,Lophura swinhooi,Lophura swinhoii,1100,NA,NA,5.85,NA,NA
Loxia_curvirostra,Loxia curvirostra,Loxia curvirostra,39.5,16.1,364.234,3.4,1.75,5.95
Loxops_caeruleirostris,Loxops caeruleirostris,Loxops caeruleirostris,10.95,NA,NA,2,NA,NA
Loxops_coccineus_NC025612,Loxops coccineus,Loxops coccineus,10.5,10,365,1.575,1,1.575
Luscinia_calliope_NC015074,Luscinia calliope,Calliope calliope,21.15,NA,NA,5,1,5
Luscinia_cyanura,Luscinia cyanura,Tarsiger cyanurus,14,10.9,363.468,5.9,2,11.8
Lyrurus_tetrix_NC024554,Lyrurus tetrix,Lyrurus tetrix,1084.75,12.25,455.101,8,1,8
Macroagelaius_imthurni_NC018810,Macroagelaius imthurni,Macroagelaius imthurni,77.1,NA,NA,NA,NA,NA
Malurus_melanocephalus,Malurus melanocephalus,Malurus melanocephalus,7.9,10.4,365,3.5,NA,NA
Melamprosops_phaesoma,Melamprosops phaeosoma,Melamprosops phaeosoma,25.5,9.25,NA,1.5,NA,NA
Meleagris_gallopavo_NC010195,Meleagris gallopavo,Meleagris gallopavo,5811,13,304,11,1,11
Melopsittacus_undulatus_NC009134,Melopsittacus undulatus,Melopsittacus undulatus,29.05,21,180,5,NA,NA
Menura_novaehollandiae_NC007883,Menura novaehollandiae,Menura novaehollandiae,979.95,26,2372.5,1,1,1
Micrastur_gilvicollis_NC008548,Micrastur gilvicollis,Micrastur gilvicollis,212.5,NA,NA,NA,NA,NA
Mionectes_oleagineus_KJ742591,Mionectes oleagineus,Mionectes oleagineus,11.23333,NA,NA,3,NA,NA
Molothrus_aeneus_NC018806,Molothrus aeneus,Molothrus aeneus,62.9,6,365.245,1,1,1
Molothrus_badius_NC018811,Molothrus badius,Agelaioides baduis,43.5,16.9,365,NA,NA,NA
Montifringilla_adamsi,Montifringilla adamsi,Montifringilla adamsi,NA,NA,NA,4,NA,NA
Montifringilla_nivalis,Montifringilla nivalis,Montifringilla nivalis,36,NA,NA,4.5,2,9
Montifringilla_ruficollis_NC022815,Montifringilla ruficollis,Pyrgilauda ruficollis,22.8,NA,NA,NA,NA,NA
Montifringilla_taczanowskii,Montifringilla taczanowskii,NA,NA,NA,NA,NA,NA,NA
Morus_serrator_GU071056,Morus serrator,Morus serrator,2350,33,730,1,1,1
Neophoma_chrysogaster_NC019804,Neophema chrysogaster,Neophema chrysogaster,45.9,NA,NA,4.625,NA,NA
Nesopsar_nigerrimus_NC018794,Nesopsar nigerrimus,Nesopsar nigerrimus,39,NA,NA,2,NA,NA
Netta_rufina_NC024922,Netta rufina,Netta rufina,1118,8.75,365,9,1,9
Ninox_novaeseelandiae_NC005932,Ninox novaeseelandiae,Ninox novaeseelandiae,195,13,365,2.5,NA,NA
Nipponia_nippon_NC008132,Nipponia nippon,Nipponia nippon,1900,36,1095,3,1,3
Notiomystis_cincta,Notiomystis cincta,Notiomystis cincta,89.5,NA,NA,4,2,8
Nucifraga_columbiana_NC022839,Nucifraga columbiana,Nucifraga columbiana,130,17.41667,365,3,1,3
Numida_meleagris_NC006382,Numida meleagris,Numida meleagris,1375,NA,NA,8.75,1,8.75
Nyctibius_grandis_EU344977,Nyctibius grandis,Nyctibius grandis,546,NA,NA,1,NA,NA
Nyctibius_griseus_HM746792,Nyctibius griseus,Nyctibius griseus,172.5,NA,NA,1,1,1
Nycticorax_nycticorax_NC015807,Nycticorax nycticorax,Nycticorax nycticorax,800,21.1,365,4,1,4
Nycticryphes_semicollaris,Nycticryphes semicollaris,Nycticryphes semicollaris,76.6,NA,NA,2,NA,NA
Nymphicus_hollandicus_HM640215,Nymphicus hollandicus,Nymphicus hollandicus,90,36,455.694,4.5,1,4.5
Oedistoma_iliolophum,Oedistoma iliolophum,Oedistoma iliolophus,11,NA,NA,1,NA,NA
Oreomystis_bairdi,Oreomystis bairdi,Oreomystis bairdi,14.5,NA,NA,NA,2,NA
Oreomystis_mana,Oreomystis mana,Manucerthia mana,14.425,NA,NA,NA,NA,NA
Oreopsar_bolivianus_NC018797,Oreopsar bolivianus,Agelaioides bolivianus,72.95,NA,NA,3,NA,NA
Oriolus_chinensis_NC020424,Oriolus chinensis,Oriolus chinensis,82.6,15.15,365,2.75,1,2.75
Otis_tarda_NC014046,Otis tarda,Otis tarda,7895.5,28.3,1635.606,2.5,1,2.5
Pandion_haliaetus_NC008550,Pandion haliaetus,Pandion haliaetus,1527.5,32,1092.702,3,1,3
Paradoxornis_webbianus_KF725775,Paradoxornis webbianus,Sinosuthora webbiana,10.9,NA,NA,5,2,10
Paroreomyza_montana,Paroreomyza montana,Paroreomyza montana,13.15,NA,608,2,NA,NA
Parus_major_NC_026293,Parus major,Parus major,18,15.417,365,8.6,1.5,12.9
Parus_venustulus_NC_026701,Parus venustulus,Pardaliparus venustulus,11.625,NA,NA,5.9,NA,NA
Passer_domesticus,Passer domesticus,Passer domesticus,27.7,23,182.625,4.35,3.25,14.1375
Passer_montanus_JX486030,Passer montanus,Passer montanus,22.05,13.1,341.234,5,2.5,12.5
Pavo_cristatus_NC024533,Pavo cristatus,Pavo cristatus,4093.75,25,730,5,1,5
Pavo_muticus_NC012897,Pavo muticus,Pavo muticus,4256.25,8,1453.872,4.75,NA,NA
Pedionomus_torquatus,Pedionomus torquatus,Pedionomus torquatus,67.8,NA,365,4,NA,NA
Pelagodroma_marina_KC875856,Pelagodroma marina,Pelagodroma marina,47.2,21,1095,1,1,1
Pelecanus_conspicillatus_DQ780883,Pelecanus conspicillatus,Pelecanus conspicillatus,5452.5,50,1278.375,2,NA,NA
Penelopides_panini_HQ834451,Penelopides panini,Penelopides panini,472,NA,NA,2.4,NA,NA
Perdix_dauurica_NC020588,Perdix dauurica,Perdix dauurica,270,5.2,365,18.5,1,18.5
Perdix_hodgsoniae_NC023940,Perdix hodgsoniae,Perdix hodgsoniae,372,5.2,365,9,NA,NA
Pericrocotus_ethologus_NC024257,Pericrocotus ethologus,Pericrocotus ethologus,19,NA,NA,3.5,NA,NA
Periparus_ater,Periparus ater,Periparus ater,9.275,9.5,364.234,5.7,1.5,8.55
Petroica_boodang_NC019666,Petroica boodang,Petroica boodang,12.1,10,NA,3.25,3,9.75
Petroica_goodenovii_NC019667,Petroica goodenovii,Petroica goodenovii,8.875,5,NA,2.45,4,9.8
Petroica_phoenicea_NC019668,Petroica phoenicea,Petroica phoenicea,13,9,NA,3.25,3,9.75
Phaeton_rubricauda_NC007979,Phaethon Rubricauda,Phaethon rubricauda,645,32.7,1460,1,1,1
Phalacrocorax_chalconotus_NC014679,Phalacrocorax chalconotus,Leucocarbo chalconotus,2382.65,20.25,730,2.5,NA,NA
Phasianus_colchicus_NC015526,Phasianus colchicus,Phasianus colchicus,1043.75,27,240,11,1,11
Phasianus_versicolor_NC010778,Phasianus versicolor,Phasianus versicolor,1000,27,240,11,1,11
Phodilus_badius_NC_023787,Phodilus badius,Phodilus badius,281.5,NA,NA,3.5,NA,NA
Phoebastria_albatrus_NC026190,Phoebastria albatrus,Phoebastria albatrus,4205.5,25,NA,1,NA,NA
Phoebastria_immutabilis_NC026189,Phoebastria immutabilis,Phoebastria immutabilis,3050,62,3141.075,1,0.9003759,0.9003759
Phoebastria_nigripes_NC026188,Phoebastria nigripes,Phoebastria nigripes,3195,42.1,3287.25,1,0.8931034,0.8931034
Phoenicopterus_roseus_NC010089,Phoenicopterus roseus,Phoenicopterus roseus,3043.5,83,1825,1,1.5,1.5
Phoenicurus_auroreus,Phoenicurus auroreus,Phoenicurus auroreus,15.5,10.2,365,4.5,2,9
Phylloscopus_inornatus_KF742677,Phylloscopus inornatus,Phylloscopus inornatus,6.7625,NA,365,5.09,1,5.09
Pica_pica_NC015200,Pica pica,Pica pica,213.375,21.7,637.601,6,1,6
Picathartes_gymnocephalus,Picathartes gymnocephalus,Picathartes gymnocephalus,196,NA,NA,2,NA,NA
Pinicola_enucleator,Pinicola enucleator,Pinicola enucleator,57,9.8,363.468,3.8,1,3.8
Pitta_nympha_NC_027067,Pitta nympha,Pitta nympha,109,NA,NA,4.9,NA,NA
Platalea_leucorodia_NC012772,Platalea leucorodia,Platalea leucorodia,1868,30.1,1095,3.5,1,3.5
Platalea_minor_NC010962,Platalea minor,Platalea minor,1228,15,NA,5,1,5
Pluvianellus_socialis,Pluvianellus socialis,Pluvianellus socialis,84.275,NA,NA,2,NA,NA
Podiceps_cristatus_NC008140,Podiceps cristatus,Podiceps cristatus,739,19.25,728.468,3.77,1.5,5.655
Podoces_hendersoni_NC014879,Podoces hendersoni,Podoces hendersoni,121.5,NA,NA,3.5,NA,NA
Poecile_atricapilla,Poecile atricapillus,Poecile atricapillus,10.8,12.41667,271.734,6.95,1,6.95
Poecile_palustris_NC_026911,Poecile palustris,Poecile palustris,11.35,11.91667,364.234,8,1,8
Polyplectron_bicalcaratum_NC012900,Polyplectron bicalcaratum,Polyplectron bicalcaratum,685,NA,NA,2,NA,NA
Polyplectron_germaini_NC023264,Polyplectron germaini,Polyplectron germaini,510,NA,NA,1.4,NA,NA
Polyplectron_napoleonis_KJ939353,Polyplectron napoleonis,Polyplectron napoleonis,436,15,730,2,NA,NA
Porphyrio_hochstetteri_NC010092,Porphyrio hochstetteri,Porphyrio hochstetteri,2472.75,12,363.468,2,1.5,3
Porphyrio_porphyrio_NC025508,Porphyrio porphyrio,Porphyrio porphyrio,850,22,547.5,4,1.5,6
Primolius_couloni_NC025742,Primolius couloni,Primolius couloni,250.25,31,NA,NA,NA,NA
Procellaria_cinerea_AP009191,Procellaria cinerea,Procellaria cinerea,1131,17,2556.75,1,0.9044118,0.9044118
Progne_chalybea_NC020605,Progne chalybea,Progne chalybea,41.65,NA,NA,3.2,NA,NA
Pseudoleistes_guirahuro_NC018809,Pseudoleistes guirahuro,Pseudoleistes guirahuro,86.55,NA,NA,4.5,NA,NA
Pseudoleistes_virescens_NC018805,Pseudoleistes virescens,Pseudoleistes virescens,79.95,NA,NA,4.5,NA,NA
Pseudonestor_xanthophrys,Pseudonestor xanthophrys,Pseudonestor xanthophrys,22.25,NA,NA,1.5,NA,NA
Pseudopodoces_humilisreal,Pseudopodoces humilis,Pseudopodoces humilis,46.75,NA,NA,5,NA,NA
Pterocles_namaquaa,Pterocles namaqua,Pterocles namaqua,176.5,NA,NA,3,1,3
Pterocnemia_pennata_NC002783,Pterocnemia pennata,Rhea pennata,21500,NA,NA,16.69984,1,16.69984
Pterodroma_brevirostris_NC007174,Pterodroma brevirostris,Aphrodroma brevirostris,355,16.55,NA,1,1,1
Pteroglossus_azara_NC008549,Pteroglossus azara,Pteroglossus azara,153.25,NA,NA,2.9,NA,NA
Ptilopachus_petrosus_NC024616,Ptilopachus petrosus,Ptilopachus petrosus,191.25,NA,NA,5,NA,NA
Pucrasia_macrolopha_NC020587,Pucrasia macrolopha,Pucrasia macrolopha,1177.5,NA,363.468,6,1,6
Pycnonotus_melanicterus_KJ186975,Pycnonotus melanicterus,NA,NA,NA,NA,2.5,2,5
Pycnonotus_sinensis_NC013838,Pycnonotus sinensis,Pycnonotus sinensis,36.1,9.95,NA,4,3.5,14
Pycnonotus_taivanus_NC013483,Pycnonotus taivanus,Pycnonotus taivanus,26.5,9.95,NA,3.5,2,7
Pygoscelis_adeliae_GQ925791,Pygoscelis adeliae,Pygoscelis adeliae,4850,18,1366.569,2,1,2
Pygoscelis_antarcticus_NC021474,Pygoscelis antarcticus,Pygoscelis antarcticus,4104.5,NA,1272.138,2,1,2
Pyrgilauda_blanfordi,Pyrgilauda blanfordi,Pyrgilauda blanfordi,NA,NA,NA,NA,NA,NA
Pyrgilauda_davidiana,Pyrgilauda davidiana,Pyrgilauda davidiana,21.85,NA,NA,5.5,NA,NA
Pyrrhocorax_graculus,Pyrrhocorax graculus,Pyrrhocorax graculus,223.5,24.4,1095,4.1,1,4.1
Pyrrhocorax_pyrrhocorax,Pyrrhocorax pyrrhocorax,Pyrrhocorax pyrrhocorax,247.75,24.4,912.5,4,1,4
Pyrrhula_pyrrhula,Pyrrhula pyrrhula,Pyrrhula pyrrhula,25.7,17.5,364.234,4.5,1.5,6.75
Quiscalus_quiscula_NC018803,Quiscalus quiscula,Quiscalus quiscula,111,23.1,365,5,1,5
Rallina_eurizonoides_NC012142,Rallina eurizonoides,Rallina eurizonoides,108.5,NA,NA,5.85,NA,NA
Regulus_regulus,Regulus regulus,Regulus regulus,5.6,7,364.234,8.5,1.75,14.875
Remiz_consobrinus_NC021641,Remiz consobrinus,Remiz consobrinus,9.3,7,365,3.7,NA,NA
Rhea_americana_NC000846,Rhea americana,Rhea americana,23000,50,576.468,23.71433,1,23.71433
Rhynchops_niger,Rynchops niger,Rynchops niger,299.5,20.25,910.202,3.75,1,3.75
Rhynchopsitta_terrisi_NC021771,Rhynchopsitta terrisi,Rhynchopsitta terrisi,436,33,730,NA,NA,NA
Rhynchortyx_cinctus,Rhynchortyx cinctus,Rhynchortyx cinctus,157.5,NA,NA,NA,NA,NA
Rhynochetos_jubatus_NC010091,Rhynochetos jubatus,Rhynochetos jubatus,860,31,726.936,1,NA,NA
Rissa_tridactyla,Rissa tridactyla,Rissa tridactyla,407.75,28.5,1643.125,2,1,2
Sagittarius_serpentarius_NC023788,Sagittarius serpentarius,Sagittarius serpentarius,3900,18.6,NA,2,1.25,2.5
Sasia_ochracea,Sasia ochracea,Sasia ochracea,10.1,NA,NA,3,NA,NA
Saxicola_rubicola_AV7,Saxicola rubicola,Saxicola rubicola,14.5,8.833333,365,5.16,2,10.32
Saxicola_torquata_AV6,Saxicola torquata,Saxicola torquatus,14.7,8.833333,365,5.16,2,10.32
Scolopax_rusticola_NC025521,Scolopax rusticola,Scolopax rusticola,309.5,20.75,455.101,4,1.5,6
Scytalopus_magellanicus,Scytalopus magellanicus,Scytalopus magellanicus,13,NA,NA,2.4,NA,NA
Serinus_albogularis,Serinus albogularis,Crithagra albogularis,25.3,NA,365,3.05,NA,NA
Serinus_canarius,Serinus canaria,Serinus canaria,21,24,NA,3.81,2,7.62
Serinus_dorsostriatus_KM078798,Serinus dorsostriatus,Crithagra dorsostriata,15.7,NA,365,3,NA,NA
Sitta_carolinensis,Sitta carolinensis,Sitta carolinensis,21,9.834,364.234,8,1,8
Smithornis_sharpei_NC000879,Smithornis sharpei,Smithornis sharpei,37.5,NA,NA,2,NA,NA
Spheniscus_demersus_NC022817,Spheniscus demersus,Spheniscus demersus,3271.667,27.3,726.936,2,1.5,3
Spilornis_cheela_NC015887,Spilornis cheela,Spilornis cheela,800,NA,NA,1,2,2
Spizaetus_alboniger_NC007599,Spizaetus alboniger,Nisaetus alboniger,830,NA,NA,NA,NA,NA
Spizaetus_nipalensis_NC_007598,Spizaetus nipalensis,Nisaetus nipalensis,3000,NA,NA,1,NA,NA
Stercorarius_maccormicki_NC026125,Stercorarius maccormicki,Stercorarius maccormicki,1382.5,34.5,1822.686,2,1,2
Sterna_eurygnatha,Sterna eurygnatha,Thalasseus acuflavidus,208,30.8,910.968,1.21,1,1.21
Streptopelia_chinensis_KP636801,Streptopelia chinensis,Spilopelia chinensis,159,9.8,NA,2,NA,NA
Strigops_habroptilus_NC005931,Strigops habroptila,Strigops habroptila,1750,60,3650,2.35,0.333,0.78255
Struthio_camelus_NC_002785,Struthio camelus,Struthio camelus,109250,50,999.537,8.666667,1.25,10.83333375
Sturnus_cineraceus_NC_015237,Sturnus cineraceus,Spodiopsar cineraceus,82.25,NA,NA,3.2,NA,NA
Sturnus_nigricollis_NC020423,Sturnus nigricollis,Gracupica nigricollis,157,NA,NA,3.9,NA,NA
Sturnus_sericeus_NC014455,Sturnus sericeus,NA,NA,NA,NA,NA,NA,NA
Sula_dactylatra_KC875857,Sula dactylatra,Sula dactylatra,1902,25.5,1461,2,1,2
Sylvia_atricapilla_NC010228,Sylvia atricapilla,Sylvia atricapilla,18.325,15,364.234,4.5,2,9
Sylvia_crassirostris_NC010229,Sylvia crassirostris,Sylvia crassirostris,22.375,NA,NA,4.2,1.5,6.3
Sylviparus_modestus_NC_026793,Sylviparus modestus,Sylviparus modestus,8.125,NA,NA,5,NA,NA
Synthliboramphus_antiquus_NC007978,Synthliboramphus antiquus,Synthliboramphus antiquus,206,15,1095.75,2,1,2
Syrmaticus_ellioti_NC010771,Syrmaticus ellioti,Syrmaticus ellioti,1156,NA,NA,7,NA,NA
Syrmaticus_humiae_NC010774,Syrmaticus humiae,Syrmaticus humiae,1048.75,NA,NA,8.25,NA,NA
Syrmaticus_ijimae_NC010767,Syrmaticus iljimae,Syrmaticus soemmerringii,907,NA,NA,7,NA,NA
Syrmaticus_reevesii_NC010770,Syrmaticus reevesii,Syrmaticus reevesii,1239,9.2,NA,9.5,1,9.5
Tachycinera_bicolor_NC020596,Tachycineta bicolor,Tachycineta bicolor,20.8,12.1,365,5,1,5
Tachycineta_albilinea_NC020601,Tachycineta albilinea,Tachycineta albilinea,16.6,NA,NA,3.95,2,7.9
Tachycineta_albiventer_NC020602,Tachycineta albiventer,Tachycineta albiventer,17.5,NA,NA,4.35,NA,NA
Tachycineta_cyaneoviridis_NC020599,Tachycineta cyaneoviridis,Tachycineta cyaneoviridis,17.7,NA,NA,3,1,3
Tachycineta_euchrysea_NC020598,Tachycineta euchrysea,Tachycineta euchrysea,NA,NA,NA,3,NA,NA
Tachycineta_leucorrhoa_NC020603,Tachycineta leucorrhoa,Tachycineta leucorrhoa,15.45,NA,NA,5.3,NA,NA
Tachycineta_meyeni_NC020604,Tachycineta meyeni,Tachycineta leucopyga,14.95,NA,NA,4.2,3,12.6
Tachycineta_stolzmanni_NC020600,Tachycineta stolzmanni,Tachycineta stolzmanni,16.5,NA,NA,3.95,NA,NA
Tachycineta_thalassina_NC020597,Tachycineta thalassina,Tachycineta thalassina,14.15,9.083333,363.468,4.5,1,4.5
Tachypatpus_novaehollandiae_NC010095,Tachybaptus novaehollandiae,Tachybaptus novaehollandiae,219,17.5,365,4.1,3,12.3
Tadorna_ferruginea_NC_024640,Tadorna ferruginea,Tadorna ferruginea,1240,NA,726.936,8.5,1,8.5
Taeniopygia_guttata_NC_007897,Taeniopygia guttata,Taeniopygia guttata,11.93333,14.5,60,4.5,2,9
Tetraogallus_tibetanus_NC023939,Tetraogallus tibetanus,Tetraogallus tibetanus,1625,NA,NA,6,NA,NA
Tetraophasis_obscurus_NC018034,Tetraophasis obscurus,Tetraophasis obscurus,938,NA,NA,NA,NA,NA
Tetraophasis_szechenyii_NC020613,Tetraophasis szechenyii,Tetraophasis szechenyii,1260,NA,NA,NA,1,NA
Tetrastes_sewerzowi_NC025318,Tetrastes sewerzowi,Tetrastes sewerzowi,267.5,7.2,NA,6.65,NA,NA
Thamnophilus_nigrocinereus,Thamnophilus nigrocinereus,Thamnophilus nigrocinereus,30,NA,NA,2,NA,NA
Thraupis_episcopus,Thraupis episcopus,Thraupis episcopus,35,9.5,NA,2,2,4
Threskiornis_aethiopicus_NC013146,Threskiornis aethiopicus,Threskiornis aethiopicus,1530,37,1090.404,2.24,1,2.24
Tragopan_caboti_NC013619,Tragopan caboti,Tragopan caboti,1250,NA,NA,4,NA,NA
Tragopan_temminckii_NC020586,Tragopan temminckii,Tragopan temminckii,1404.5,NA,NA,4,NA,NA
Tregellasia_leucops,Tregellasia leucops,Tregellasia leucops,15.975,9,NA,1.7,NA,NA
Trogon_viridis_NC011714,Trogon viridis,Trogon viridis,87.1,NA,NA,2.5,NA,NA
Turdus_hortulorum,Turdus hortulorum,Turdus hortulorum,66.7,NA,NA,4.25,2,8.5
Turdus_migratorius,Turdus migratorius,Turdus migratorius,78.78333,17,364.234,3.43,2.5,8.575
Turdus_naumanni_KJ834096,Turdus naumanni,Turdus naumanni,78.5,NA,NA,4,NA,NA
Turnix_sylvatica,Turnix sylvaticus,Turnix sylvaticus,46.35,NA,363.468,4,2,8
Turtur_tympanistria_HM746793,Turtur tympanistria,Turtur tympanistria,69.15,7,NA,2,NA,NA
Tyto_alba_EU410491,Tyto alba,Tyto alba,381.6,34,365,5.15,1.75,9.0125
Uragus_sibiricus,Uragus sibiricus,Carpodacus sibiricus,17,NA,NA,4.5,1,4.5
Urocissa_erythrorhyncha_NC020426,Urocissa erythrorhyncha,Urocissa erythroryncha,166.25,NA,NA,4,NA,NA
Vanellus_cinereus_KM873665,Vanellus cinereus,Vanellus cinereus,270,NA,NA,4,NA,NA
Vanellus_vanellus_NC025637,Vanellus vanellus,Vanellus vanellus,218,24.5,728.468,4,1,4
Vestiaria_coccinea,Vestiaria coccinea,Drepanis coccinea,17.5,8.8,NA,2,NA,NA
Vidua_chalybeata_NC000880,Vidua chalybeata,Vidua chalybeata,12.425,10,365,3,8,24
Vireo_olivaceus,Vireo olivaceus,Vireo olivaceus,16.85,10.2,365,3.7,1.5,5.55
Xanthopsa_flavus_NC_018804,Xanthopsar flavus,Xanthopsar flavus,43,NA,NA,4,1,4
Zenaida_auriculata_HM640211,Zenaida auriculata,Zenaida auriculata,110.75,28.15,227.5,2,NA,NA